9911,188.75,0,5984,20250403-092000-092500.mp4
9911,88.25,0,2656,20250403-092500-093000.mp4
9917,89.5,0,5056,20250403-092500-093000.mp4
9917,104,0,4800,20250403-093000-093459.mp4
9916,49.25,0,5224,20250403-093000-093459.mp4
9916,19.5,0,5984,20250403-093000-093459.mp4
9901,12.25,0,4404,20250403-094000-094501.mp4
9912,33.75,0,6016,20250403-094000-094501.mp4
9912,55,0,4140,20250403-094501-095000.mp4
9913,41,0,5984,20250403-094501-095000.mp4
9906,15.75,0,5984,20250403-094501-095000.mp4
9913,34.75,0,4284,20250403-095000-095501.mp4
9895,42.5,0,3376,20250403-095501-100000.mp4
9916,36.25,0,5971,20250403-095501-100000.mp4
9908,7,0,1832,20250403-100000-100501.mp4
9913,41.5,0,3632,20250403-100000-100501.mp4
9908,2,0,6016,20250403-100000-100501.mp4
9917,40,0,6016,20250403-100000-100501.mp4
9915,18,0,4896,20250403-100501-101000.mp4
9916,8.75,0,5984,20250403-100501-101000.mp4
9895,60,0,5292,20250403-101000-101501.mp4
9912,29.25,0,2312,20250403-101501-102000.mp4
9908,24.25,0,5264,20250403-101501-102000.mp4
9908,29.25,0,4152,20250403-102000-102501.mp4
9909,47.75,0,1476,20250403-102501-103000.mp4
9894,244.5,0,5984,20250403-102501-103000.mp4
9894,155.75,0,2816,20250403-103000-103501.mp4
9914,197.75,0,6016,20250403-103000-103501.mp4
9903,152.75,0,4588,20250403-103501-104000.mp4
9914,106,0,5744,20250403-103501-104000.mp4
9903,76.5,0,5984,20250403-103501-104000.mp4
9906,4.25,0,2124,20250403-104000-104501.mp4
9901,361.25,0,6016,20250403-104000-104501.mp4
9901,34.75,0,796,20250403-104501-105000.mp4
9903,25.25,0,1508,20250403-104501-105000.mp4
9908,280.25,0,5984,20250403-104501-105000.mp4
9908,228.75,0,5908,20250403-105000-105501.mp4
9913,135.25,0,6016,20250403-105000-105501.mp4
9913,184,0,5979,20250403-105501-110000.mp4
9912,178.5,0,5979,20250403-105501-110000.mp4
9912,171.75,0,3000,20250403-110000-110500.mp4
9911,34,0,5964,20250403-110000-110500.mp4
9906,113,0,5984,20250403-110501-111000.mp4
9906,118.5,0,2384,20250403-111000-111500.mp4
9895,248,0,6016,20250403-111000-111500.mp4
9895,66,0,5984,20250403-111500-112000.mp4
9905,298.25,0,5984,20250403-111500-112000.mp4
